Ingredient,Percent,Ratio
butter,39.28143713,0.392814371
sugar,31.25748503,0.31257485
flour,26.70658683,0.267065868
cream,24.91017964,0.249101796
milk,24.07185629,0.240718563
egg,14.97005988,0.149700599
onion,14.37125749,0.143712575
wheat flour,12.21556886,0.122155689
potatoes,11.61676647,0.116167665
vegetables,11.25748503,0.11257485
vinegar,10.77844311,0.107784431
pork,10.65868263,0.106586826
plain flour,10.41916168,0.104191617
lemon,9.820359281,0.098203593
broth,8.982035928,0.089820359
beef,8.383233533,0.083832335
white fish,8.263473054,0.082634731
cheese,7.425149701,0.074251497
mustard,7.305389222,0.073053892
carrots,7.065868263,0.070658683
peppercorns,7.065868263,0.070658683
parsley,6.946107784,0.069461078
white vinegar,6.946107784,0.069461078
baking powder,6.706586826,0.067065868
breadcrumbs,6.107784431,0.061077844
coarse salt,5.868263473,0.058682635
potato starch,5.508982036,0.05508982
oil,5.508982036,0.05508982
vanilla sugar,5.389221557,0.053892216
cooked fish,5.269461078,0.052694611
bay leaf,4.910179641,0.049101796
black pepper,4.910179641,0.049101796
dill,4.910179641,0.049101796
rye flour,4.910179641,0.049101796
golden syrup,4.790419162,0.047904192
whole fish,4.790419162,0.047904192
yeast,4.790419162,0.047904192
cardamom,4.790419162,0.047904192
nutmeg,4.670658683,0.046706587
ginger,4.670658683,0.046706587
cloves,4.550898204,0.045508982
bread flour,4.431137725,0.044311377
mutton,4.311377246,0.043113772
bay leaves,4.191616766,0.041916168
lamb,4.071856287,0.040718563
meat stock,4.071856287,0.040718563
allspice berries,4.071856287,0.040718563
thyme,4.071856287,0.040718563
Attika vinegar,3.952095808,0.039520958
brown sugar,3.952095808,0.039520958
chives,3.832335329,0.038323353
cod,3.832335329,0.038323353
raisins,3.71257485,0.037125749
cassia cinnamon,3.592814371,0.035928144
pastry,3.592814371,0.035928144
white bread,3.473053892,0.034730539
minced beef,3.353293413,0.033532934
sugar juice,3.233532934,0.032335329
zest,3.233532934,0.032335329
celery,3.233532934,0.032335329
salted butter,3.233532934,0.032335329
icing sugar,3.233532934,0.032335329
ground cinnamon,3.113772455,0.031137725
egg yolks,3.113772455,0.031137725
cabbage,3.113772455,0.031137725
garlic,3.113772455,0.031137725
cabbage,3.113772455,0.031137725
hard cheese,2.994011976,0.02994012
parsley butter,2.994011976,0.02994012
beer,2.874251497,0.028742515
leek,2.754491018,0.02754491
horseradish,2.754491018,0.02754491
salmon,2.634730539,0.026347305
floury potatoes,2.634730539,0.026347305
rye dough,2.634730539,0.026347305
mustard sauce,2.51497006,0.025149701
blood,2.51497006,0.025149701
sour cream,2.395209581,0.023952096
sugar syrup,2.395209581,0.023952096
fried salt pork,2.275449102,0.022754491
salt pork fried,2.275449102,0.022754491
orange,2.275449102,0.022754491
fish bones,2.275449102,0.022754491
bacon,2.155688623,0.021556886
pork shoulder,2.155688623,0.021556886
firm potatoes,2.035928144,0.020359281
pearl barley,2.035928144,0.020359281
pearl barley,2.035928144,0.020359281
brown mustard,2.035928144,0.020359281
cinnamon stick,1.916167665,0.019161677
mushroom soy sauce,1.916167665,0.019161677
mayonnaise,1.916167665,0.019161677
red onion,1.916167665,0.019161677
coarse rye flour,1.916167665,0.019161677
pork belly,1.916167665,0.019161677
pork belly,1.916167665,0.019161677
chicken,1.916167665,0.019161677
rolled oats,1.916167665,0.019161677
dill fronds,1.916167665,0.019161677
pearl sugar,1.916167665,0.019161677
brown cheese,1.916167665,0.019161677
fennel,1.796407186,0.017964072
liver,1.796407186,0.017964072
cauliflower,1.676646707,0.016766467
celeriac,1.676646707,0.016766467
rice porridge,1.676646707,0.016766467
cassia cinnamon stick,1.676646707,0.016766467
cordial,1.676646707,0.016766467
apples,1.556886228,0.015568862
pickling liquor,1.556886228,0.015568862
swede,1.556886228,0.015568862
short grain rice,1.556886228,0.015568862
fresh peas,1.556886228,0.015568862
fish stock,1.556886228,0.015568862
prunes,1.556886228,0.015568862
meat patties,1.556886228,0.015568862
lamb shoulder,1.556886228,0.015568862
pancakes,1.556886228,0.015568862
pickling liquor,1.556886228,0.015568862
kale,1.437125749,0.014371257
pork stock,1.437125749,0.014371257
lard,1.437125749,0.014371257
beetroot,1.437125749,0.014371257
pike,1.437125749,0.014371257
lard,1.437125749,0.014371257
pork back fat,1.437125749,0.014371257
baker ammonia,1.437125749,0.014371257
cocoa powder,1.437125749,0.014371257
egg whites,1.437125749,0.014371257
broccoli,1.317365269,0.013173653
pickled herring,1.317365269,0.013173653
cod roe,1.317365269,0.013173653
chocolate icing,1.317365269,0.013173653
chopped almonds,1.317365269,0.013173653
meat and bones,1.317365269,0.013173653
caraway,1.19760479,0.011976048
sprouts,1.19760479,0.011976048
flat fish,1.19760479,0.011976048
salted cod,1.19760479,0.011976048
roux,1.19760479,0.011976048
caraway,1.19760479,0.011976048
ground almonds,1.19760479,0.011976048
roux,1.19760479,0.011976048
dried marjoram,1.077844311,0.010778443
yellow split peas,1.077844311,0.010778443
lean pork,1.077844311,0.010778443
dried marjoram,1.077844311,0.010778443
white icing,1.077844311,0.010778443
almond paste,1.077844311,0.010778443
white icing,1.077844311,0.010778443
liquid rennet,1.077844311,0.010778443
dry flatbread,0.958083832,0.009580838
spinach leaves,0.958083832,0.009580838
vinaigrette,0.958083832,0.009580838
chicken stock,0.958083832,0.009580838
vegetable stock,0.958083832,0.009580838
eel,0.958083832,0.009580838
salmon fillet,0.958083832,0.009580838
chicken stock,0.958083832,0.009580838
pitted prunes,0.958083832,0.009580838
tasty stock,0.958083832,0.009580838
pork liver,0.958083832,0.009580838
brined ham,0.958083832,0.009580838
yellow mustard,0.958083832,0.009580838
buttermilk,0.838323353,0.008383234
cream liquid rennet,0.838323353,0.008383234
ham stock,0.838323353,0.008383234
capers,0.838323353,0.008383234
sprats,0.838323353,0.008383234
aged fish,0.838323353,0.008383234
salad dressing,0.838323353,0.008383234
juniper berries,0.838323353,0.008383234
pig blood,0.838323353,0.008383234
romme,0.838323353,0.008383234
dark chocolate,0.838323353,0.008383234
raspberry jam,0.838323353,0.008383234
soft fruit,0.838323353,0.008383234
shallots,0.718562874,0.007185629
summer cabbage,0.718562874,0.007185629
winter cabbage,0.718562874,0.007185629
kale leaves,0.718562874,0.007185629
button mushrooms,0.718562874,0.007185629
ground mace,0.718562874,0.007185629
fish balls,0.718562874,0.007185629
goose,0.718562874,0.007185629
beef chuck,0.718562874,0.007185629
braising beef,0.718562874,0.007185629
smoked ham,0.718562874,0.007185629
dark beer,0.718562874,0.007185629
heart,0.718562874,0.007185629
