Ingredient1,Ingredient2,Rank
butter,flour,161
butter,sugar,122
butter,milk,118
milk,flour,113
sugar,flour,112
cream,butter,105
flour,wheat flour,102
milk,sugar,101
plain flour,flour,87
butter,wheat flour,86
cream,sugar,77
cream,milk,74
egg,butter,73
cream,flour,73
butter,onion,71
sugar,wheat flour,71
milk,wheat flour,62
butter,plain flour,61
egg,milk,58
vinegar,white vinegar,58
egg,sugar,57
egg,flour,54
cream,onion,50
butter,potatoes,49
flour,baking powder,49
sugar,baking powder,48
butter,lemon,47
butter,vegetables,46
butter,baking powder,46
egg,cream,45
sugar,vanilla sugar,45
milk,plain flour,44
butter,breadcrumbs,43
butter,beef,43
butter,pork,41
flour,rye flour,41
sugar,vinegar,40
butter,broth,39
vegetables,carrots,38
baking powder,wheat flour,38
flour,bread flour,37
pork,beef,36
milk,cheese,35
vegetables,onion,35
cream,wheat flour,34
butter,cheese,34
sugar,plain flour,34
sugar,brown sugar,33
Attika vinegar,vinegar,33
sugar,cardamom,32
broth,onion,32
egg,wheat flour,31
cream,plain flour,31
sugar,lemon,31
onion,beef,31
butter,carrots,30
milk,baking powder,30
broth,meat stock,30
flour,breadcrumbs,30
butter,white fish,29
sugar,cassia cinnamon,29
flour,yeast,29
onion,pork,29
cream,broth,28
sugar,potato starch,28
broth,flour,28
flour,onion,28
minced beef,beef,28
butter,salted butter,27
sugar,sugar juice,27
sugar,icing sugar,27
flour,potatoes,27
egg,egg yolks,26
cream,breadcrumbs,26
butter,vanilla sugar,26
butter,meat stock,26
butter,yeast,26
butter,cardamom,26
sugar,ground cinnamon,26
vegetables,broth,26
cabbage,cabbage,26
white fish,cooked fish,26
hard cheese,cheese,25
butter,vinegar,25
butter,parsley,25
butter,parsley butter,25
butter,rye flour,25
milk,yeast,25
sugar,breadcrumbs,25
vanilla sugar,flour,25
peppercorns,onion,25
peppercorns,allspice berries,25
lemon,flour,25
flour,cardamom,25
parsley,parsley butter,25
potatoes,pork,25
cream,vegetables,24
butter,golden syrup,24
butter,black pepper,24
butter,bread flour,24
sugar,zest,24
golden syrup,flour,24
zest,lemon,24
bay leaf,onion,24
lemon,vinegar,24
lemon,white fish,24
egg,plain flour,23
sugar,white vinegar,23
peppercorns,bay leaves,23
flour,pork,23
lamb,mutton,23
onion,potatoes,23
cloves,ginger,23
cream,cheese,22
butter,minced beef,22
milk,onion,22
milk,cardamom,22
peppercorns,bay leaf,22
bay leaf,thyme,22
flour,cheese,22
onion,thyme,22
potatoes,floury potatoes,22
butter,brown sugar,21
butter,cooked fish,21
milk,nutmeg,21
sugar,Attika vinegar,21
vegetables,celery,21
broth,beef,21
vinegar,onion,21
flour,coarse salt,21
flour,rye dough,21
mustard,mustard sauce,21
whole fish,white fish,21
bread flour,wheat flour,21
rye flour,rye dough,21
cream,vanilla sugar,20
cream,nutmeg,20
cream,sour cream,20
cream,white fish,20
cream,baking powder,20
cream,beef,20
butter,white bread,20
milk,potatoes,20
milk,pork,20
milk,bread flour,20
