Ing1,Ing2,Ing3,Ing4,Rank
butter,sugar,flour,wheat flour,64
butter,flour,wheat flour,sugar,64
sugar,flour,wheat flour,butter,64
butter,sugar,wheat flour,flour,64
butter,milk,flour,wheat flour,54
butter,flour,wheat flour,milk,54
milk,flour,wheat flour,butter,54
butter,milk,wheat flour,flour,54
butter,milk,flour,sugar,52
butter,sugar,flour,milk,52
milk,sugar,flour,butter,52
butter,milk,sugar,flour,52
sugar,flour,wheat flour,milk,46
milk,sugar,flour,wheat flour,46
milk,flour,wheat flour,sugar,46
milk,sugar,wheat flour,flour,46
butter,sugar,flour,baking powder,41
sugar,flour,baking powder,butter,41
butter,flour,baking powder,sugar,41
butter,sugar,baking powder,flour,41
butter,sugar,wheat flour,milk,40
butter,milk,sugar,wheat flour,40
butter,milk,wheat flour,sugar,40
milk,sugar,wheat flour,butter,40
sugar,flour,wheat flour,baking powder,36
sugar,flour,baking powder,wheat flour,36
flour,baking powder,wheat flour,sugar,36
sugar,baking powder,wheat flour,flour,36
butter,flour,wheat flour,baking powder,35
butter,flour,baking powder,wheat flour,35
flour,baking powder,wheat flour,butter,35
butter,baking powder,wheat flour,flour,35
butter,sugar,wheat flour,baking powder,33
butter,sugar,baking powder,wheat flour,33
sugar,baking powder,wheat flour,butter,33
butter,baking powder,wheat flour,sugar,33
butter,milk,flour,plain flour,31
butter,plain flour,flour,milk,31
milk,plain flour,flour,butter,31
butter,milk,plain flour,flour,31
butter,milk,flour,cream,30
cream,butter,flour,milk,30
cream,butter,milk,flour,30
cream,milk,flour,butter,30
butter,flour,wheat flour,egg,29
butter,flour,wheat flour,cream,29
cream,butter,flour,wheat flour,29
egg,butter,flour,wheat flour,29
cream,flour,wheat flour,butter,29
egg,flour,wheat flour,butter,29
egg,butter,wheat flour,flour,29
cream,butter,wheat flour,flour,29
butter,milk,flour,egg,28
butter,sugar,flour,cream,28
cream,butter,flour,sugar,28
egg,butter,flour,milk,28
egg,butter,milk,flour,28
cream,butter,sugar,flour,28
egg,milk,flour,butter,28
cream,sugar,flour,butter,28
milk,sugar,flour,baking powder,27
sugar,flour,baking powder,milk,27
milk,flour,baking powder,sugar,27
milk,sugar,baking powder,flour,27
butter,milk,flour,baking powder,26
butter,sugar,flour,egg,26
butter,flour,baking powder,milk,26
egg,butter,flour,sugar,26
egg,butter,sugar,flour,26
egg,sugar,flour,butter,26
milk,flour,baking powder,butter,26
butter,milk,baking powder,flour,26
sugar,flour,wheat flour,egg,25
sugar,flour,wheat flour,cream,25
cream,sugar,flour,wheat flour,25
cream,flour,wheat flour,sugar,25
egg,sugar,flour,wheat flour,25
egg,flour,wheat flour,sugar,25
egg,sugar,wheat flour,flour,25
cream,sugar,wheat flour,flour,25
butter,milk,sugar,baking powder,24
milk,flour,wheat flour,egg,24
milk,flour,wheat flour,baking powder,24
butter,sugar,baking powder,milk,24
flour,baking powder,wheat flour,milk,24
egg,milk,flour,wheat flour,24
egg,flour,wheat flour,milk,24
milk,flour,baking powder,wheat flour,24
milk,sugar,baking powder,butter,24
butter,milk,baking powder,sugar,24
egg,milk,wheat flour,flour,24
milk,baking powder,wheat flour,flour,24
butter,sugar,wheat flour,egg,23
milk,flour,wheat flour,cream,23
cream,milk,flour,wheat flour,23
egg,butter,sugar,wheat flour,23
cream,flour,wheat flour,milk,23
egg,butter,wheat flour,sugar,23
egg,sugar,wheat flour,butter,23
cream,milk,wheat flour,flour,23
butter,sugar,flour,plain flour,22
milk,sugar,flour,egg,22
butter,sugar,wheat flour,cream,22
butter,plain flour,flour,cream,22
butter,plain flour,flour,sugar,22
cream,butter,flour,plain flour,22
butter,milk,wheat flour,egg,22
butter,milk,wheat flour,baking powder,22
milk,sugar,wheat flour,baking powder,22
egg,butter,milk,wheat flour,22
cream,butter,sugar,wheat flour,22
egg,milk,flour,sugar,22
sugar,baking powder,wheat flour,milk,22
butter,baking powder,wheat flour,milk,22
sugar,plain flour,flour,butter,22
egg,sugar,flour,milk,22
cream,plain flour,flour,butter,22
egg,butter,wheat flour,milk,22
egg,milk,sugar,flour,22
cream,butter,wheat flour,sugar,22
milk,sugar,baking powder,wheat flour,22
butter,milk,baking powder,wheat flour,22
cream,sugar,wheat flour,butter,22
egg,milk,wheat flour,butter,22
milk,baking powder,wheat flour,butter,22
milk,baking powder,wheat flour,sugar,22
cream,butter,plain flour,flour,22
butter,sugar,plain flour,flour,22
milk,sugar,flour,plain flour,21
butter,milk,sugar,egg,21
milk,plain flour,flour,sugar,21
egg,butter,milk,sugar,21
egg,butter,sugar,milk,21
sugar,plain flour,flour,milk,21
egg,milk,sugar,butter,21
milk,sugar,plain flour,flour,21
butter,milk,flour,yeast,19
butter,sugar,flour,vanilla sugar,19
butter,sugar,flour,breadcrumbs,19
butter,sugar,flour,cardamom,19
butter,flour,wheat flour,yeast,19
milk,sugar,flour,cream,19
cream,milk,flour,sugar,19
cream,sugar,flour,milk,19
cream,milk,sugar,flour,19
butter,sugar,vanilla sugar,flour,19
butter,flour,breadcrumbs,sugar,19
sugar,vanilla sugar,flour,butter,19
butter,sugar,breadcrumbs,flour,19
butter,flour,yeast,milk,19
butter,flour,yeast,wheat flour,19
sugar,flour,cardamom,butter,19
milk,flour,yeast,butter,19
butter,milk,yeast,flour,19
butter,sugar,cardamom,flour,19
butter,flour,cardamom,sugar,19
sugar,flour,breadcrumbs,butter,19
flour,yeast,wheat flour,butter,19
butter,vanilla sugar,flour,sugar,19
butter,yeast,wheat flour,flour,19
butter,flour,wheat flour,cardamom,18
sugar,flour,wheat flour,cardamom,18
butter,milk,sugar,cream,18
butter,milk,wheat flour,cream,18
milk,sugar,wheat flour,egg,18
sugar,flour,baking powder,vanilla sugar,18
cream,butter,milk,sugar,18
cream,butter,milk,wheat flour,18
cream,butter,sugar,milk,18
cream,milk,sugar,butter,18
egg,milk,sugar,wheat flour,18
cream,butter,wheat flour,milk,18
egg,sugar,wheat flour,milk,18
sugar,vanilla sugar,flour,baking powder,18
egg,milk,wheat flour,sugar,18
cream,milk,wheat flour,butter,18
sugar,flour,cardamom,wheat flour,18
butter,flour,cardamom,wheat flour,18
flour,wheat flour,cardamom,butter,18
flour,wheat flour,cardamom,sugar,18
butter,wheat flour,cardamom,flour,18
sugar,vanilla sugar,baking powder,flour,18
sugar,wheat flour,cardamom,flour,18
vanilla sugar,flour,baking powder,sugar,18
butter,flour,wheat flour,breadcrumbs,17
sugar,flour,wheat flour,vanilla sugar,17
sugar,flour,wheat flour,breadcrumbs,17
butter,sugar,wheat flour,breadcrumbs,17
butter,sugar,wheat flour,cardamom,17
butter,plain flour,flour,onion,17
sugar,flour,baking powder,breadcrumbs,17
butter,flour,baking powder,breadcrumbs,17
butter,sugar,baking powder,breadcrumbs,17
butter,flour,onion,plain flour,17
butter,flour,breadcrumbs,baking powder,17
butter,flour,breadcrumbs,wheat flour,17
sugar,vanilla sugar,flour,wheat flour,17
butter,sugar,breadcrumbs,baking powder,17
butter,sugar,breadcrumbs,wheat flour,17
butter,sugar,cardamom,wheat flour,17
sugar,flour,breadcrumbs,baking powder,17
sugar,flour,breadcrumbs,wheat flour,17
plain flour,flour,onion,butter,17
butter,wheat flour,cardamom,sugar,17
sugar,wheat flour,cardamom,butter,17
butter,plain flour,onion,flour,17
butter,breadcrumbs,baking powder,sugar,17
butter,breadcrumbs,baking powder,flour,17
butter,breadcrumbs,wheat flour,sugar,17
butter,breadcrumbs,wheat flour,flour,17
sugar,vanilla sugar,wheat flour,flour,17
sugar,breadcrumbs,baking powder,butter,17
sugar,breadcrumbs,baking powder,flour,17
sugar,breadcrumbs,wheat flour,butter,17
sugar,breadcrumbs,wheat flour,flour,17
vanilla sugar,flour,wheat flour,sugar,17
flour,breadcrumbs,baking powder,butter,17
flour,breadcrumbs,baking powder,sugar,17
flour,breadcrumbs,wheat flour,butter,17
flour,breadcrumbs,wheat flour,sugar,17
butter,milk,flour,cheese,16
milk,sugar,flour,cardamom,16
milk,flour,wheat flour,yeast,16
cream,butter,flour,egg,16
butter,milk,wheat flour,yeast,16
egg,butter,flour,cream,16
flour,baking powder,wheat flour,breadcrumbs,16
sugar,baking powder,wheat flour,breadcrumbs,16
butter,baking powder,wheat flour,breadcrumbs,16
egg,cream,butter,flour,16
butter,broth,onion,meat stock,16
butter,broth,meat stock,onion,16
sugar,flour,cardamom,milk,16
milk,flour,yeast,wheat flour,16
butter,milk,cheese,flour,16
butter,milk,yeast,wheat flour,16
milk,sugar,cardamom,flour,16
flour,rye flour,rye dough,bread flour,16
egg,cream,flour,butter,16
butter,flour,cheese,milk,16
flour,yeast,wheat flour,milk,16
butter,yeast,wheat flour,milk,16
broth,meat stock,onion,butter,16
flour,bread flour,rye flour,rye dough,16
milk,flour,cheese,butter,16
butter,breadcrumbs,baking powder,wheat flour,16
butter,breadcrumbs,wheat flour,baking powder,16
milk,flour,cardamom,sugar,16
sugar,breadcrumbs,baking powder,wheat flour,16
sugar,breadcrumbs,wheat flour,baking powder,16
flour,breadcrumbs,baking powder,wheat flour,16
flour,breadcrumbs,wheat flour,baking powder,16
butter,meat stock,onion,broth,16
milk,yeast,wheat flour,butter,16
milk,yeast,wheat flour,flour,16
flour,bread flour,rye dough,rye flour,16
breadcrumbs,baking powder,wheat flour,butter,16
breadcrumbs,baking powder,wheat flour,sugar,16
breadcrumbs,baking powder,wheat flour,flour,16
bread flour,rye flour,rye dough,flour,16
butter,flour,wheat flour,vanilla sugar,15
butter,flour,wheat flour,bread flour,15
butter,sugar,wheat flour,vanilla sugar,15
butter,milk,sugar,cardamom,15
butter,plain flour,flour,egg,15
milk,sugar,wheat flour,cream,15
sugar,flour,baking powder,cream,15
milk,plain flour,flour,cream,15
egg,butter,flour,plain flour,15
cream,milk,flour,plain flour,15
cream,sugar,flour,baking powder,15
egg,butter,sugar,cardamom,15
cream,milk,sugar,wheat flour,15
cream,plain flour,flour,milk,15
butter,sugar,vanilla sugar,wheat flour,15
